Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Included / European Union,Price / European Union,Compare At Price / European Union,Included / International,Price / International,Compare At Price / International,Status
partial-cod,Partial COD,,Ottoman Beds,,partial_cod_handle,partial_cod_handle,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
26-majestic-headboard-strutted-headboard,26inch Majestic Headboard Strutted Headboard,"<p>In this section, we have selected a range of our <strong>best popular headboards</strong> which we believe offer exceptional value for money, are beautifully made with care and available in-store in a fantastic choice of over 40 fabrics and colors.</p>
<p>Thesingle <strong>headboard grey</strong> are made in either the traditional way, with<strong> single bed headboards</strong>, or as a floor standing model which is still attached to the divan base.</p>
<p>The headboards are available in the standard 6 sizes :</p>
<p>2ft6 (75cm) Small Single : 3ft0 (90cm) Single : 4ft0 (120cm) Small Double : 4ft6 (135cm) Double : 5ft0 (150cm) King and 6ft0 (180cm) SuperKing :</p>
<p>Other special sizes are available in this range, please telephone us for a quote.</p>
<p>To show some of the fabric colors , <strong>single divan headboard</strong>, as a guide and of course these could be ordered online should you wish to do so.</p>
<p> </p>
 ",Ottoman Beds,Furniture > Beds & Accessories > Headboards & Footboards,Beds,Select,TRUE,Title,Default Title,,,,,26inch Majestic Plain,0,,0,deny,manual,95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0818/2651/3206/products/Majestic-Plain-Design-Strutted-Headboard-scaled_b1e6d744-ba2d-42ee-8584-d02b723365da.jpg?v=1702859257,1,,FALSE,,,,,,,new,TRUE,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
54inch-safina-chesterfield-headboard-with-legs-bolts-copy,54inch Safina Plain Headboard,"<p>In this section, we have selected a range of our <strong>best popular headboards</strong> which we believe offer exceptional value for money, are beautifully made with care and available in-store in a fantastic choice of over 40 fabrics and colors.</p>
<p>Thesingle <strong>headboard grey</strong> are made in either the traditional way, with<strong> single bed headboards</strong>, or as a floor standing model which is still attached to the divan base.</p>
<p>The headboards are available in the standard 6 sizes :</p>
<p>2ft6 (75cm) Small Single : 3ft0 (90cm) Single : 4ft0 (120cm) Small Double : 4ft6 (135cm) Double : 5ft0 (150cm) King and 6ft0 (180cm) SuperKing :</p>
<p>Other special sizes are available in this range, please telephone us for a quote.</p>
<p>To show some of the fabric colors , <strong>single divan headboard</strong>, as a guide and of course these could be ordered online should you wish to do so.</p>
<p> </p>
 ",Ottoman Beds,,Beds,Select,TRUE,Title,Default Title,,,,,Safina Plain,0,,0,deny,manual,175,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0818/2651/3206/products/Safina-Ottoman-Bed-sosoftbeds0010_ca88f7a4-6f12-4866-9ccb-0801354097b5.jpg?v=1702859252,1,,FALSE,,,,,,,new,TRUE,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
26inch-curve-360-headboard-with-legs-bolts,26inch Curve 360 Headboard with legs & bolts,"<p>In this section, we have selected a range of our <strong>best popular headboards</strong> which we believe offer exceptional value for money, are beautifully made with care and available in-store in a fantastic choice of over 40 fabrics and colors.</p>
<p>Thesingle <strong>headboard grey</strong> are made in either the traditional way, with<strong> single bed headboards</strong>, or as a floor standing model which is still attached to the divan base.</p>
<p>The headboards are available in the standard 6 sizes :</p>
<p>2ft6 (75cm) Small Single : 3ft0 (90cm) Single : 4ft0 (120cm) Small Double : 4ft6 (135cm) Double : 5ft0 (150cm) King and 6ft (180cm) Super King :</p>
<p>Other special sizes are available in this range, please telephone us for a quote.</p>
<p>To show some of the fabric colors , <strong>single divan headboard</strong>, as a guide and of course these could be ordered online should you wish to do so.</p>
<p> </p>
 ",Ottoman Beds,Furniture > Beds & Accessories > Headboards & Footboards,Beds,Select,TRUE,Title,Default Title,,,,,360 Curve 26inch,0,,0,deny,manual,85,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0818/2651/3206/products/Curve-_Strutted-Headboards_V01_0015-scaled.jpg?v=1702859247,1,,FALSE,,,,,,,new,TRUE,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
26inch-majestic-chesterfield-headboard-with-legs-bolts,30inch Majestic Chesterfield Headboard with legs & bolts,"<p>In this section, we have selected a range of our <strong>best popular headboards</strong> which we believe offer exceptional value for money, are beautifully made with care and available in-store in a fantastic choice of over 40 fabrics and colors.</p>
<p>Thesingle <strong>headboard grey</strong> are made in either the traditional way, with<strong> single bed headboards</strong>, or as a floor standing model which is still attached to the divan base.</p>
<p>The headboards are available in the standard 6 sizes :</p>
<p>2ft6 (75cm) Small Single : 3ft0 (90cm) Single : 4ft0 (120cm) Small Double : 4ft6 (135cm) Double : 5ft0 (150cm) King and 6ft0 (180cm) SuperKing :</p>
<p>Other special sizes are available in this range, please telephone us for a quote.</p>
<p>To show some of the fabric colors , <strong>single divan headboard</strong>, as a guide and of course these could be ordered online should you wish to do so.</p>
<p> </p>
 ",Ottoman Beds,Furniture > Beds & Accessories > Headboards & Footboards,Beds,Select,TRUE,Title,Default Title,,,,,Majestic-CHS-30inch,0,,0,deny,manual,125,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0818/2651/3206/products/majestic-chesterfield-Strutted-Headboard-scaled.jpg?v=1702859242,1,,FALSE,,,,,,,new,TRUE,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
30inch-safina-chesterfield-headboard-with-legs-bolts,30inch Safina Chesterfield Headboard with legs & bolts,"<p>In this section, we have selected a range of our <strong>best popular headboards</strong> which we believe offer exceptional value for money, are beautifully made with care and available in-store in a fantastic choice of over 40 fabrics and colors.</p>
<p>Thesingle <strong>headboard grey</strong> are made in either the traditional way, with<strong> single bed headboards</strong>, or as a floor standing model which is still attached to the divan base.</p>
<p>The headboards are available in the standard 6 sizes :</p>
<p>2ft6 (75cm) Small Single : 3ft0 (90cm) Single : 4ft0 (120cm) Small Double : 4ft6 (135cm) Double : 5ft0 (150cm) King and 6ft0 (180cm) SuperKing :</p>
<p>Other special sizes are available in this range, please telephone us for a quote.</p>
<p>To show some of the fabric colors , <strong>single divan headboard</strong>, as a guide and of course these could be ordered online should you wish to do so.</p>
<p> </p>
 ",Ottoman Beds,Furniture > Beds & Accessories > Headboards & Footboards,Beds,Select,TRUE,Title,Default Title,,,,,Safina-CHS-30inch,0,,0,deny,manual,125,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0818/2651/3206/products/SAfina-Design-Strutted-Headboard-scaled.jpg?v=1702859237,1,,FALSE,,,,,,,new,TRUE,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
26-york-headboard-with-legs-bolts,"26"" York Headboard with legs & bolts","<p>In this section, we have selected a range of our <strong>best popular headboards</strong> which we believe offer exceptional value for money, are beautifully made with care and available in-store in a fantastic choice of over 40 fabrics and colors.</p>
<p>Thesingle <strong>headboard grey</strong> are made in either the traditional way, with<strong> single bed headboards</strong>, or as a floor standing model which is still attached to the divan base.</p>
<p>The headboards are available in the standard 6 sizes :</p>
<p>2ft6 (75cm) Small Single : 3ft0 (90cm) Single : 4ft0 (120cm) Small Double : 4ft6 (135cm) Double : 5ft0 (150cm) King and 6ft0 (180cm) SuperKing :</p>
<p>Other special sizes are available in this range, please telephone us for a quote.</p>
<p>To show some of the fabric colors , <strong>single divan headboard</strong>, as a guide and of course these could be ordered online should you wish to do so.</p>
<p> </p>
 ",Ottoman Beds,Furniture > Beds & Accessories > Headboards & Footboards,Beds,Select,TRUE,Title,Default Title,,,,,York-26inch,0,,0,deny,manual,95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0818/2651/3206/products/york-Panel-Design-Strutted-Headboard-scaled.jpg?v=1702859231,1,,FALSE,,,,,,,new,TRUE,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
26-sicilian-headboard-with-legs-bolts,"26"" Sicilian Headboard with legs & bolts","<p>In this section, we have selected a range of our <strong>best popular headboards</strong> which we believe offer exceptional value for money, are beautifully made with care and available in-store in a fantastic choice of over 40 fabrics and colors.</p>
<p>Thesingle <strong>headboard grey</strong> are made in either the traditional way, with<strong> single bed headboards</strong>, or as a floor standing model which is still attached to the divan base.</p>
<p>The headboards are available in the standard 6 sizes :</p>
<p>2ft6 (75cm) Small Single : 3ft0 (90cm) Single : 4ft0 (120cm) Small Double : 4ft6 (135cm) Double : 5ft0 (150cm) King and 6ft0 (180cm) SuperKing :</p>
<p>Other special sizes are available in this range, please telephone us for a quote.</p>
<p>To show some of the fabric colors , <strong>single divan headboard</strong>, as a guide and of course these could be ordered online should you wish to do so.</p>
<p> </p>
 ",Ottoman Beds,Furniture > Beds & Accessories > Headboards & Footboards,Beds,Select,TRUE,Title,Default Title,,,,,SCN-26inch,0,,0,deny,manual,95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0818/2651/3206/products/SCN-Square-Panel-Strutted-Headboard-scaled_ac68be22-cc54-4bea-95c9-2e6a711addae.jpg?v=1702859226,1,,FALSE,,,,,,,new,TRUE,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
26-plain-majestic-headboard-with-legs-bolts,"26"" Majestic Plain Headboard with legs & bolts","<p>In this section, we have selected a range of our <strong>best popular headboards</strong> which we believe offer exceptional value for money, are beautifully made with care and available in-store in a fantastic choice of over 40 fabrics and colors.</p>
<p>Thesingle <strong>headboard grey</strong> are made in either the traditional way, with<strong> single bed headboards</strong>, or as a floor standing model which is still attached to the divan base.</p>
<p>The headboards are available in the standard 6 sizes :</p>
<p>2ft6 (75cm) Small Single : 3ft0 (90cm) Single : 4ft0 (120cm) Small Double : 4ft6 (135cm) Double : 5ft0 (150cm) King and 6ft0 (180cm) SuperKing :</p>
<p>Other special sizes are available in this range, please telephone us for a quote.</p>
<p>To show some of the fabric colors , <strong>single divan headboard</strong>, as a guide and of course these could be ordered online should you wish to do so.</p>
<p> </p>
 ",Ottoman Beds,Furniture > Beds & Accessories > Headboards & Footboards,Beds,Select,TRUE,Title,Default Title,,,,,maj-26inch,0,,0,deny,manual,95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0818/2651/3206/products/Majestic-Plain-Design-Strutted-Headboard-scaled.jpg?v=1702859221,1,,FALSE,,,,,,,new,TRUE,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
select-your-fabric-colour-full-list,Select Your Fabric Colour Full List, ,Storage Beds and Mattresses,,Beds,"ottoman storage bed upholstery, velvet baby pink",FALSE,Product Select Colour,Mystique Velvet Dove +£250,,,,,Mystique Dove-1,0,,0,deny,manual,250,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,archived
